micelle_formed,first_micelle_step,micelle_total_steps,micelle_total_time,micelle_max_lifetime_steps,micelle_max_lifetime_time,micelle_segments,final_cluster,final_state_type,dominant_state_type,dominant_cluster,experiment_id,n_robots,history_len,dt,position_mode,center_x,center_y,dish_diameter,radius,radius_std,domain_size,n_position_clusters,cluster_std,robot_diameter,min_center_distance,boundary_margin,max_position_attempts,velocity_mode,speed_mean,speed_std,heading_mean_deg,heading_noise_deg,acceleration_noise,angular_speed_mean,angular_speed_std,seed
True,0.0,156,15.600000000000001,60,6.0,8,2,Sparse Distribution (Разреженное),Sparse Distribution (Разреженное),2,synthetic_r250_v1.00_random_rep0,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,random,1.0,5.0,0.0,30.0,1.0,0.0,5.0,42
True,0.0,600,60.0,600,60.0,1,0,Regular Structure (Мицелла),Regular Structure (Мицелла),0,synthetic_r250_v1.00_random_rep1,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,random,1.0,5.0,0.0,30.0,1.0,0.0,5.0,43
True,0.0,405,40.5,238,23.8,2,0,Regular Structure (Мицелла),Regular Structure (Мицелла),0,synthetic_r250_v1.00_aligned_rep0,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,aligned,1.0,5.0,0.0,30.0,1.0,0.0,5.0,44
True,0.0,371,37.1,258,25.8,8,2,Sparse Distribution (Разреженное),Regular Structure (Мицелла),0,synthetic_r250_v1.00_aligned_rep1,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,aligned,1.0,5.0,0.0,30.0,1.0,0.0,5.0,45
True,0.0,591,59.1,440,44.0,3,0,Regular Structure (Мицелла),Regular Structure (Мицелла),0,synthetic_r250_v1.00_rotational_rep0,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,rotational,1.0,5.0,0.0,30.0,1.0,0.0,5.0,46
True,0.0,537,53.7,182,18.2,6,0,Regular Structure (Мицелла),Regular Structure (Мицелла),0,synthetic_r250_v1.00_rotational_rep1,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,rotational,1.0,5.0,0.0,30.0,1.0,0.0,5.0,47
True,0.0,415,41.5,194,19.400000000000002,4,3,Sparse Distribution (Разреженное),Regular Structure (Мицелла),0,synthetic_r250_v1.00_inward_rep0,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,inward,1.0,5.0,0.0,30.0,1.0,0.0,5.0,48
True,0.0,600,60.0,600,60.0,1,0,Regular Structure (Мицелла),Regular Structure (Мицелла),0,synthetic_r250_v1.00_inward_rep1,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,inward,1.0,5.0,0.0,30.0,1.0,0.0,5.0,49
True,0.0,571,57.1,370,37.0,9,0,Regular Structure (Мицелла),Regular Structure (Мицелла),0,synthetic_r250_v3.00_random_rep0,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,random,3.0,5.0,0.0,30.0,1.0,0.0,5.0,50
True,0.0,472,47.2,136,13.600000000000001,14,0,Regular Structure (Мицелла),Regular Structure (Мицелла),0,synthetic_r250_v3.00_random_rep1,50,4,0.1,disk,1000.0,500.0,1000.0,250.0,60.0,1000.0,3,80.0,60.0,,,30000,random,3.0,5.0,0.0,30.0,1.0,0.0,5.0,51
